model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,n_test_total,avg_epochs_trained
GRU,G1_price_only,32,16,0.001,5,3,128,target_h5,ok,,0.016420641914010048,0.012871150858700275,0.6507936507936508,2.6397270659963534,4994,8,63,5.0
Informer,G1_price_only,32,16,0.001,5,3,128,target_h5,ok,,0.01665269397199154,0.013252535834908485,0.6507936507936508,2.951493599316562,4994,8,63,5.0
TFT,G2_price_technical,32,16,0.001,5,3,128,target_h5,ok,,0.016731588169932365,0.012926299124956131,0.6507936507936508,2.6397270659963534,4994,17,63,5.0
TFT,G1_price_only,32,16,0.001,5,3,128,target_h5,ok,,0.016944341361522675,0.013339672237634659,0.6507936507936508,2.6397270659963534,4994,8,63,5.0
TFT,G3_plus_breadth,32,16,0.001,5,3,128,target_h5,ok,,0.01769932545721531,0.01398556400090456,0.6507936507936508,2.6397270659963534,4994,24,63,5.0
FEDformer,G3_plus_breadth,32,16,0.001,5,3,128,target_h5,ok,,0.017819028347730637,0.015212512575089931,0.4444444444444444,-2.1254191198211108,4994,24,63,4.0
Informer,G3_plus_breadth,32,16,0.001,5,3,128,target_h5,ok,,0.018195059150457382,0.014261898584663868,0.6349206349206349,1.8577926602661068,4994,24,63,5.0
GRU,G2_price_technical,32,16,0.001,5,3,128,target_h5,ok,,0.018482007086277008,0.013901124708354473,0.6031746031746031,2.8026032502252143,4994,17,63,5.0
PatchTST,G1_price_only,32,16,0.001,5,3,128,target_h5,ok,,0.018583478406071663,0.01517429482191801,0.5079365079365079,-0.27255488403095524,4994,8,63,5.0
GRU,G3_plus_breadth,32,16,0.001,5,3,128,target_h5,ok,,0.018719887360930443,0.014727610163390636,0.6031746031746031,2.570939108616465,4994,24,63,5.0
Informer,G2_price_technical,32,16,0.001,5,3,128,target_h5,ok,,0.01934744045138359,0.016625573858618736,0.49206349206349204,0.37747092373291097,4994,17,63,5.0
NHITS,G1_price_only,32,16,0.001,5,3,128,target_h5,ok,,0.01995227299630642,0.016226837411522865,0.49206349206349204,-0.9708010713815497,4994,8,63,5.0
FEDformer,G2_price_technical,32,16,0.001,5,3,128,target_h5,ok,,0.020140081644058228,0.017069673165678978,0.36507936507936506,-3.1450416547203828,4994,17,63,5.0
FEDformer,G1_price_only,32,16,0.001,5,3,128,target_h5,ok,,0.020583974197506905,0.016033316031098366,0.5714285714285714,0.22766750057034424,4994,8,63,5.0
NHITS,G3_plus_breadth,32,16,0.001,5,3,128,target_h5,ok,,0.021843813359737396,0.018104804679751396,0.42857142857142855,-1.386350106874804,4994,24,63,5.0
Mamba,G2_price_technical,32,16,0.001,5,3,128,target_h5,ok,,0.026281755417585373,0.022113289684057236,0.5396825396825397,0.8725934370903978,4994,17,63,5.0
NHITS,G2_price_technical,32,16,0.001,5,3,128,target_h5,ok,,0.02706269733607769,0.021402880549430847,0.4444444444444444,-2.219140239101396,4994,17,63,5.0
PatchTST,G3_plus_breadth,32,16,0.001,5,3,128,target_h5,ok,,0.02744390070438385,0.023427437990903854,0.3333333333333333,-3.686164683887001,4994,24,63,5.0
Mamba,G1_price_only,32,16,0.001,5,3,128,target_h5,ok,,0.02887468785047531,0.021612409502267838,0.5555555555555556,0.5320374388031281,4994,8,63,5.0
Mamba,G3_plus_breadth,32,16,0.001,5,3,128,target_h5,ok,,0.028992218896746635,0.02342989109456539,0.5714285714285714,0.5450222191351592,4994,24,63,5.0
PatchTST,G2_price_technical,32,16,0.001,5,3,128,target_h5,ok,,0.03236810117959976,0.025220459327101707,0.42857142857142855,-2.1211134550256237,4994,17,63,4.0
NBEATS,G1_price_only,32,16,0.001,5,3,128,target_h5,ok,,0.03996063396334648,0.03330301120877266,0.42857142857142855,-1.7460680401495636,4994,8,63,5.0
NBEATS,G3_plus_breadth,32,16,0.001,5,3,128,target_h5,ok,,0.053686320781707764,0.040357932448387146,0.5714285714285714,2.991528736691176,4994,24,63,5.0
Autoformer,G2_price_technical,32,16,0.001,5,3,128,target_h5,ok,,0.05792628973722458,0.04738690331578255,0.6190476190476191,1.7110639395157734,4994,17,63,5.0
LSTM,G1_price_only,32,16,0.001,5,3,128,target_h5,ok,,0.05925864353775978,0.0568959079682827,0.6507936507936508,2.6397270659963534,4994,8,63,5.0
NBEATS,G2_price_technical,32,16,0.001,5,3,128,target_h5,ok,,0.05949651077389717,0.04844755306839943,0.47619047619047616,0.45650352354768226,4994,17,63,5.0
Autoformer,G1_price_only,32,16,0.001,5,3,128,target_h5,ok,,0.08884955197572708,0.07839073985815048,0.6666666666666666,3.2487983262472655,4994,8,63,4.0
Autoformer,G3_plus_breadth,32,16,0.001,5,3,128,target_h5,ok,,0.09419120103120804,0.08356276154518127,0.6507936507936508,2.6397270659963534,4994,24,63,5.0
LSTM,G3_plus_breadth,32,16,0.001,5,3,128,target_h5,ok,,0.11060696840286255,0.10848027467727661,0.3492063492063492,-2.6397270659963534,4994,24,63,5.0
LSTM,G2_price_technical,32,16,0.001,5,3,128,target_h5,ok,,0.1753639131784439,0.17407618463039398,0.6507936507936508,2.6397270659963534,4994,17,63,5.0
