target,model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
h1,Autoformer,G2_price_technical,64,32,0.001,20,10,64,ok,,0.0116395531222224,0.009670284576714,0.4444444444444444,0.5365465080876873,4966,17,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_Autoformer_lag64_h32_lr0.001_e20_p10.pt
h1,FEDformer,G3_plus_breadth,64,32,0.001,20,10,64,ok,,0.0082163689658045,0.0061614545993506,0.5238095238095238,1.1430901894914396,4966,24,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_FEDformer_lag64_h32_lr0.001_e20_p10.pt
h1,GRU,G3_plus_breadth,64,32,0.001,20,10,64,ok,,0.0080069936811923,0.0058561381883919,0.6507936507936508,3.842783005188128,4966,24,64,63,13.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_GRU_lag64_h32_lr0.001_e20_p10.pt
h1,Informer,G2_price_technical,64,32,0.001,20,10,64,ok,,0.0077391294762492,0.0059576891362667,0.5714285714285714,3.1569571975125164,4966,17,64,63,19.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_Informer_lag64_h32_lr0.001_e20_p10.pt
h1,LSTM,G3_plus_breadth,64,32,0.001,20,10,64,ok,,0.0114386761561036,0.0090870587155222,0.5873015873015873,0.6219466382041966,4966,24,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt
h1,MambaStock,G3_plus_breadth,64,32,0.001,20,10,64,ok,,0.0089302416890859,0.0067462408915162,0.4444444444444444,-1.2951583784505765,4966,24,64,63,17.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_MambaStock_lag64_h32_lr0.001_e20_p10.pt
h1,NBEATS,G1_price_only,64,32,0.001,20,10,64,ok,,0.0366015397012233,0.0291323587298393,0.4444444444444444,-1.5061050121699633,4966,8,64,63,15.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_NBEATS_lag64_h32_lr0.001_e20_p10.pt
h1,NHITS,G3_plus_breadth,64,32,0.001,20,10,64,ok,,0.0083929188549518,0.0059737591072916,0.5396825396825397,0.927138698463006,4966,24,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_NHITS_lag64_h32_lr0.001_e20_p10.pt
h1,PatchTST,G1_price_only,64,32,0.001,20,10,64,ok,,0.0078763477504253,0.005996168591082,0.492063492063492,2.0257822784407433,4966,8,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt
h1,TFT,G2_price_technical,64,32,0.001,20,10,64,ok,,0.0078048990108072,0.0056974575854837,0.5714285714285714,0.5232286377100563,4966,17,64,63,12.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt
h5,Autoformer,G2_price_technical,64,32,0.001,20,10,64,ok,,0.0203832294791936,0.0174701903015375,0.3809523809523809,-0.49439858242012,4962,17,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G2_price_technical_Autoformer_lag64_h32_lr0.001_e20_p10.pt
h5,FEDformer,G1_price_only,64,32,0.001,20,10,64,ok,,0.0156987365335226,0.0126475896686315,0.6349206349206349,5.2680830394585385,4962,8,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G1_price_only_FEDformer_lag64_h32_lr0.001_e20_p10.pt
h5,GRU,G3_plus_breadth,64,32,0.001,20,10,64,ok,,0.0166024193167686,0.0133642936125397,0.6190476190476191,4.222801319531839,4962,24,64,63,15.0,artifacts/models/deep_torch/target_h5/target_h5_G3_plus_breadth_GRU_lag64_h32_lr0.001_e20_p10.pt
h5,Informer,G2_price_technical,64,32,0.001,20,10,64,ok,,0.0162763018161058,0.0131595134735107,0.7301587301587301,5.263514370877044,4962,17,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G2_price_technical_Informer_lag64_h32_lr0.001_e20_p10.pt
h5,LSTM,G3_plus_breadth,64,32,0.001,20,10,64,ok,,0.0187113024294376,0.0149113852530717,0.4761904761904761,-2.6060031958685244,4962,24,64,63,18.0,artifacts/models/deep_torch/target_h5/target_h5_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt
h5,MambaStock,G2_price_technical,64,32,0.001,20,10,64,ok,,0.0178703181445598,0.0144094359129667,0.5714285714285714,1.63105129520125,4962,17,64,63,16.0,artifacts/models/deep_torch/target_h5/target_h5_G2_price_technical_MambaStock_lag64_h32_lr0.001_e20_p10.pt
h5,NBEATS,G1_price_only,64,32,0.001,20,10,64,ok,,0.0348491966724395,0.0280104931443929,0.5555555555555556,1.5855452315737053,4962,8,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G1_price_only_NBEATS_lag64_h32_lr0.001_e20_p10.pt
h5,NHITS,G2_price_technical,64,32,0.001,20,10,64,ok,,0.0190416760742664,0.0149732045829296,0.5873015873015873,4.037087157237144,4962,17,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G2_price_technical_NHITS_lag64_h32_lr0.001_e20_p10.pt
h5,PatchTST,G1_price_only,64,32,0.001,20,10,64,ok,,0.0161675531417131,0.0126772141084074,0.6507936507936508,2.6397270659963534,4962,8,64,63,20.0,artifacts/models/deep_torch/target_h5/target_h5_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt
h5,TFT,G3_plus_breadth,64,32,0.001,20,10,64,ok,,0.0168020948767662,0.0133845675736665,0.6507936507936508,2.6397270659963534,4962,24,64,63,14.0,artifacts/models/deep_torch/target_h5/target_h5_G3_plus_breadth_TFT_lag64_h32_lr0.001_e20_p10.pt
