"target","model_name","ok_count","mean_rmse","mean_mae","mean_directional_accuracy","mean_sharpe"
"target_h1","PatchTST","97","0.0224329500948799","0.0169023733499662","0.502454590083456","0.220787372133756"
"target_h1","TFT","97","0.0227931011180134","0.0170691845909759","0.504581901489118","-0.125493769383954"
"target_h1","LSTM","97","0.0229249260839574","0.0172603643336093","0.49942726231386","-0.0270336794835167"
"target_h1","Informer","97","0.0231612102061356","0.0175287773563843","0.499099983636066","-0.166127871620667"
"target_h1","GRU","97","0.0233104303095144","0.0176663118337771","0.498690885288823","-0.0248670109304324"
"target_h1","MambaStock","97","0.0240700591509182","0.0183537557874758","0.507036491572574","0.189306096735728"
"target_h1","FEDformer","97","0.0260984893965045","0.0202602575312263","0.503845524464081","0.0307311954931241"
"target_h1","NHITS","97","0.035876470109083","0.0276936878517424","0.503763704794632","-0.118601074853898"
"target_h1","Autoformer","97","0.0436826581039379","0.0366473441713096","0.506791032564229","0.49841813691746"
"target_h1","NBEATS","97","0.0476707043798314","0.0375986723517327","0.482899689085256","-0.343670656204857"
"target_h5","PatchTST","97","0.0518659175632848","0.0403621117920451","0.493618065783014","-0.197463212055205"
"target_h5","GRU","97","0.0531327805107402","0.0413802483973583","0.503027327769595","0.18596270011054"
"target_h5","LSTM","97","0.0532372997132773","0.0412734386117495","0.494763541155294","-0.227762503689693"
"target_h5","TFT","97","0.0534497060304143","0.041536703974623","0.478399607265587","-0.936881849188222"
"target_h5","FEDformer","97","0.0534787988770254","0.0417953705050282","0.504254622811324","-0.0290613452614167"
"target_h5","Informer","97","0.0558955283624302","0.0438021951422249","0.492472590410735","-0.316125971130021"
"target_h5","MambaStock","97","0.0564024604127272","0.0439127335497706","0.508100147275405","0.0710916790426351"
"target_h5","Autoformer","97","0.0723947546608055","0.0595842795350502","0.518000327278678","0.742297371732064"
"target_h5","NBEATS","97","0.0768487181936957","0.0610748058204184","0.493372606774669","-0.344729563338749"
"target_h5","NHITS","97","0.0814850099154354","0.0644739035171332","0.497872688594338","0.0463730429749446"
