variant,target,status,feature_group,model_family,rmse,directional_accuracy,sharpe,model_family_results
v1_winsor_robustz,target_h1,ok,G2_price_technical,elastic_net,0.0203834216640213,0.5136381261984819,0.1701489330480461,reports\preprocessing_variants\v1_winsor_robustz\target_h1\model_family_results.csv
v1_winsor_robustz,target_h5,ok,G1_price_only,elastic_net,0.0464114030578901,0.5170058270786523,0.2515920962189338,reports\preprocessing_variants\v1_winsor_robustz\target_h5\model_family_results.csv
v2_ema_standardz,target_h1,ok,G3_plus_panel_breadth,hist_gbr,0.0203224596874186,0.508581263047185,0.2567728189863966,reports\preprocessing_variants\v2_ema_standardz\target_h1\model_family_results.csv
v2_ema_standardz,target_h5,ok,G3_plus_panel_breadth,elastic_net,0.0464039102978352,0.513717803664101,0.3258932300232808,reports\preprocessing_variants\v2_ema_standardz\target_h5\model_family_results.csv
v3_rollmed_minmax,target_h1,ok,G3_plus_panel_breadth,ridge,0.0203787970148341,0.5053569816051291,0.2554619166130178,reports\preprocessing_variants\v3_rollmed_minmax\target_h1\model_family_results.csv
v3_rollmed_minmax,target_h5,ok,G2_price_technical,elastic_net,0.0463818202924551,0.5179778921592062,0.5629870972067972,reports\preprocessing_variants\v3_rollmed_minmax\target_h5\model_family_results.csv
v4_hampel_ranknorm,target_h1,ok,G1_price_only,ridge,0.0203715630697479,0.5168039774990837,0.5366168392244448,reports\preprocessing_variants\v4_hampel_ranknorm\target_h1\model_family_results.csv
v4_hampel_ranknorm,target_h5,ok,G1_price_only,ridge,0.0463824195051575,0.5220201955816189,0.418734631463275,reports\preprocessing_variants\v4_hampel_ranknorm\target_h5\model_family_results.csv
v5_iqrclip_log_cs_z,target_h1,ok,G1_price_only,elastic_net,0.0203869868985147,0.5125385771729373,0.1417613000865053,reports\preprocessing_variants\v5_iqrclip_log_cs_z\target_h1\model_family_results.csv
v5_iqrclip_log_cs_z,target_h5,ok,G2_price_technical,hist_gbr,0.0464178523449246,0.518737483998109,0.2298544671715538,reports\preprocessing_variants\v5_iqrclip_log_cs_z\target_h5\model_family_results.csv
